sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
143,1,694,9581,10275,256,1024,54416.7
144,1,676,9588,10264,256,1024,54208.3
145,0,738,9569,10307,256,1024,54291.7
146,1,683,9499,10182,256,1024,54333.3
147,1,677,9533,10210,256,1024,54208.3
148,0,738,9569,10307,256,1024,54333.3
149,0,738,9569,10307,256,1024,54375.0
150,1,683,9506,10189,256,1024,54291.7
151,0,738,9569,10307,256,1024,54250.0
152,1,682,9518,10200,256,1024,54250.0
153,1,682,9548,10230,256,1024,54416.7
154,1,676,9475,10151,256,1024,54500.0
155,0,738,9569,10307,256,1024,54375.0
156,0,738,9569,10307,256,1024,55750.0
157,0,738,9569,10307,256,1024,54500.0
158,1,688,9505,10193,256,1024,54333.3
159,0,738,9569,10307,256,1024,54250.0
160,0,738,9569,10307,256,1024,54333.3
161,0,738,9569,10307,256,1024,54291.7
162,1,672,9484,10156,256,1024,54250.0
163,0,738,9569,10307,256,1024,54333.3
164,1,675,9486,10161,256,1024,114541.7
165,1,688,9552,10240,256,1024,81375.0
166,1,681,9538,10219,256,1024,54333.3
167,1,685,9566,10251,256,1024,54333.3
168,1,688,9575,10263,256,1024,54416.7
169,0,738,9569,10307,256,1024,54458.3
170,1,674,9574,10248,256,1024,54375.0
171,0,738,9569,10307,256,1024,54250.0
172,0,738,9569,10307,256,1024,54250.0
173,1,678,9577,10255,256,1024,54416.7
174,0,738,9569,10307,256,1024,54333.3
175,1,681,9548,10229,256,1024,54208.3
176,0,738,9569,10307,256,1024,54291.7
177,0,738,9569,10307,256,1024,54333.3
178,0,738,9569,10307,256,1024,54333.3
179,0,738,9569,10307,256,1024,54500.0
180,1,684,9521,10205,256,1024,54333.3
181,0,738,9569,10307,256,1024,54000.0
182,1,675,9507,10182,256,1024,54333.3
183,1,670,9576,10246,256,1024,58791.7
184,1,662,9578,10240,256,1024,54291.7
185,1,683,9511,10194,256,1024,54250.0
186,0,738,9569,10307,256,1024,54333.3
187,1,689,9554,10243,256,1024,54333.3
188,0,738,9569,10307,256,1024,53750.0
189,1,687,9541,10228,256,1024,54125.0
190,0,738,9569,10307,256,1024,54375.0
191,0,738,9569,10307,256,1024,54208.3
192,1,667,9532,10199,256,1024,58416.7
193,0,738,9569,10307,256,1024,54375.0
194,1,688,9515,10203,256,1024,53833.3
195,0,738,9569,10307,256,1024,52166.7
196,1,673,9532,10205,256,1024,53791.7
197,1,686,9482,10168,256,1024,54208.3
198,0,738,9569,10307,256,1024,54250.0
199,0,738,9569,10307,256,1024,54166.7
200,1,676,9538,10214,256,1024,54208.3
201,0,738,9569,10307,256,1024,54375.0
202,0,738,9569,10307,256,1024,54208.3
203,0,738,9569,10307,256,1024,54166.7
204,0,738,9569,10307,256,1024,54291.7
205,0,738,9569,10307,256,1024,54500.0
206,1,683,9480,10163,256,1024,54375.0
207,1,688,9590,10278,256,1024,56708.3
208,1,694,9533,10227,256,1024,54291.7
209,1,672,9587,10259,256,1024,54208.3
210,0,738,9569,10307,256,1024,54375.0
211,1,679,9515,10194,256,1024,54250.0
212,0,738,9569,10307,256,1024,59250.0
213,1,676,9490,10166,256,1024,54250.0
214,0,738,9569,10307,256,1024,54291.7
215,0,738,9569,10307,256,1024,54166.7
216,1,679,9478,10157,256,1024,58250.0
217,0,738,9569,10307,256,1024,54500.0
218,0,738,9569,10307,256,1024,54291.7
219,1,678,9605,10283,256,1024,54375.0
220,0,738,9569,10307,256,1024,54750.0
221,1,688,9580,10268,256,1024,54375.0
222,0,738,9569,10307,256,1024,54250.0
223,0,738,9569,10307,256,1024,54375.0
224,1,686,9552,10238,256,1024,54333.3
225,0,738,9569,10307,256,1024,54333.3
226,1,680,9599,10279,256,1024,54250.0
227,1,694,9563,10257,256,1024,54291.7
228,0,738,9569,10307,256,1024,54250.0
229,1,678,9587,10265,256,1024,54208.3
230,0,738,9569,10307,256,1024,54041.7
231,1,681,9532,10213,256,1024,54500.0
232,0,738,9569,10307,256,1024,54250.0
233,1,681,9545,10226,256,1024,54208.3
234,0,738,9569,10307,256,1024,54458.3
235,0,738,9569,10307,256,1024,54083.3
236,0,738,9569,10307,256,1024,54875.0
237,1,670,9531,10201,256,1024,54208.3
238,0,738,9569,10307,256,1024,54291.7
239,1,683,9605,10288,256,1024,54750.0
240,1,679,9601,10280,256,1024,54458.3
241,1,689,9508,10197,256,1024,54208.3
242,1,673,9564,10237,256,1024,54291.7
243,1,685,9544,10229,256,1024,54500.0
244,0,738,9569,10307,256,1024,54375.0
245,1,681,9584,10265,256,1024,54375.0
246,1,674,9527,10201,256,1024,54250.0
247,1,679,9460,10139,256,1024,54291.7
248,0,738,9569,10307,256,1024,54583.3
249,1,667,9518,10185,256,1024,54458.3
250,0,738,9569,10307,256,1024,54541.7
251,0,738,9569,10307,256,1024,54833.3
252,0,738,9569,10307,256,1024,54541.7
253,1,666,9592,10258,256,1024,54416.7
254,1,670,9519,10189,256,1024,54333.3
255,1,673,9492,10165,256,1024,54416.7
256,1,681,9514,10195,256,1024,52833.3
257,1,677,9607,10284,256,1024,52541.7
258,0,738,9569,10307,256,1024,51625.0
259,0,738,9569,10307,256,1024,50666.7
260,0,738,9569,10307,256,1024,50666.7
261,0,738,9569,10307,256,1024,50625.0
262,1,680,9547,10227,256,1024,50666.7
263,1,674,9563,10237,256,1024,50666.7
264,0,738,9569,10307,256,1024,50666.7
265,0,738,9569,10307,256,1024,50583.3
266,1,680,9537,10217,256,1024,50666.7
267,0,738,9569,10307,256,1024,50875.0
268,1,698,9465,10163,256,1024,50708.3
269,0,738,9569,10307,256,1024,50916.7
270,0,738,9569,10307,256,1024,50708.3
271,0,738,9569,10307,256,1024,50666.7
