sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
165,1,0,0,0,0,0,50333.3
166,1,0,0,0,0,0,50166.7
167,1,0,0,0,0,0,50333.3
168,1,0,0,0,0,0,50375.0
169,0,0,0,0,0,0,50291.7
170,1,0,0,0,0,0,50416.7
171,0,0,0,0,0,0,50375.0
172,0,0,0,0,0,0,50500.0
173,1,0,0,0,0,0,50458.3
174,0,0,0,0,0,0,50375.0
175,1,0,0,0,0,0,50166.7
176,0,0,0,0,0,0,50375.0
177,0,0,0,0,0,0,50333.3
178,0,0,0,0,0,0,50291.7
179,0,0,0,0,0,0,50416.7
180,1,0,0,0,0,0,50916.7
181,0,0,0,0,0,0,52125.0
182,1,0,0,0,0,0,50833.3
183,1,0,0,0,0,0,50416.7
184,1,0,0,0,0,0,50458.3
185,1,0,0,0,0,0,50583.3
186,0,0,0,0,0,0,50500.0
187,1,0,0,0,0,0,50416.7
188,0,0,0,0,0,0,50958.3
189,1,0,0,0,0,0,52250.0
190,0,0,0,0,0,0,51125.0
191,0,0,0,0,0,0,50416.7
192,1,0,0,0,0,0,50416.7
193,0,0,0,0,0,0,50375.0
194,1,0,0,0,0,0,50416.7
195,0,0,0,0,0,0,50583.3
196,1,0,0,0,0,0,50416.7
197,1,0,0,0,0,0,50333.3
198,0,0,0,0,0,0,50500.0
199,0,0,0,0,0,0,50500.0
200,1,0,0,0,0,0,50375.0
201,0,0,0,0,0,0,50416.7
202,0,0,0,0,0,0,50333.3
203,0,0,0,0,0,0,50250.0
204,0,0,0,0,0,0,50541.7
205,0,0,0,0,0,0,50500.0
206,1,0,0,0,0,0,50416.7
207,1,0,0,0,0,0,50458.3
208,1,0,0,0,0,0,50375.0
209,1,0,0,0,0,0,50333.3
210,0,0,0,0,0,0,50333.3
211,1,0,0,0,0,0,50583.3
212,0,0,0,0,0,0,50583.3
213,1,0,0,0,0,0,50541.7
214,0,0,0,0,0,0,51958.3
215,0,0,0,0,0,0,50375.0
216,1,0,0,0,0,0,50583.3
217,0,0,0,0,0,0,50458.3
218,0,0,0,0,0,0,50458.3
219,1,0,0,0,0,0,50458.3
220,0,0,0,0,0,0,50500.0
221,1,0,0,0,0,0,50375.0
222,0,0,0,0,0,0,50375.0
223,0,0,0,0,0,0,50458.3
224,1,0,0,0,0,0,50416.7
225,0,0,0,0,0,0,50458.3
226,1,0,0,0,0,0,50541.7
227,1,0,0,0,0,0,50458.3
228,0,0,0,0,0,0,50416.7
229,1,0,0,0,0,0,50416.7
230,0,0,0,0,0,0,50416.7
231,1,0,0,0,0,0,50458.3
232,0,0,0,0,0,0,50458.3
233,1,0,0,0,0,0,50500.0
234,0,0,0,0,0,0,50375.0
235,0,0,0,0,0,0,50458.3
236,0,0,0,0,0,0,50416.7
237,1,0,0,0,0,0,50500.0
238,0,0,0,0,0,0,50375.0
